Type,Value,Classification,First seen,Last seen
IP address,92.242.40.225,Kinsing downloader,13/02/2021,16/02/2021
IP address,194.40.243.167,Kinsing downloader,17/01/2021,14/02/2021
IP address,188.119.112.132,Kinsing downloader,17/12/2020,21/12/2020
IP address,194.40.243.61,Kinsing downloader,24/11/2020,08/01/2021
IP address,45.10.88.124,Kinsing downloader,23/09/2020,24/11/2020
IP address,5.34.183.14,Kinsing downloader,20/09/2020,23/09/2020
IP address,45.153.231.22,Kinsing downloader,17/09/2020,20/09/2020
IP address,93.189.42.250,Kinsing downloader,15/09/2020,17/09/2020
IP address,5.34.183.145,Kinsing downloader,13/09/2020,15/09/2020
IP address,195.123.246.63,Kinsing downloader,01/09/2020,13/09/2020
IP address,195.123.228.32,Kinsing downloader,14/08/2020,01/09/2020
IP address,45.67.230.68,Kinsing downloader,03/08/2020,14/08/2020
IP address,45.67.228.26,Kinsing downloader,25/07/2020,25/07/2020
IP address,93.189.43.3,Kinsing downloader,19/06/2020,03/08/2020
IP address,213.226.114.189,Kinsing downloader,16/06/2020,19/06/2020
IP address,45.138.157.25,Kinsing downloader,15/06/2020,16/06/2020
IP address,158.69.102.181,Kinsing downloader,12/06/2020,15/06/2020
IP address,217.182.226.107,Kinsing downloader,11/06/2020,12/06/2020
IP address,217.12.210.209,Kinsing downloader,10/06/2020,11/06/2020
IP address,185.193.143.172,Kinsing downloader,09/06/2020,10/06/2020
IP address,185.105.109.27,Kinsing downloader,08/06/2020,09/06/2020
IP address,45.10.88.74,Kinsing downloader,06/06/2020,08/06/2020
IP address,185.154.53.100,Kinsing downloader,04/06/2020,06/06/2020
IP address,212.47.251.177,Kinsing downloader,03/06/2020,04/06/2020
IP address,217.12.223.51,Kinsing downloader,20/05/2020,03/06/2020
IP address,51.83.171.41,Kinsing downloader,11/05/2020,20/05/2020
IP address,144.217.117.146,Kinsing downloader,29/04/2020,11/05/2020
IP address,45.153.231.180,Kinsing downloader,27/04/2020,29/04/2020
IP address,185.151.245.208,Kinsing downloader,27/04/2020,27/04/2020
IP address,95.142.40.254,Kinsing downloader,25/04/2020,27/04/2020
IP address,5.34.183.189,Kinsing downloader,22/04/2020,25/04/2020
IP address,45.153.229.30,Kinsing downloader,21/04/2020,22/04/2020
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
